scenario,uncertainty,trial,seed,method,window,hard_lower,hard_upper,smooth_score,planning_time
lane_change,1.0,0,2026,deterministic_stl,10,0.9703643321990967,1.0,0.8819161653518677,0.5641801559977466
lane_change,1.0,0,2026,deterministic_stl,11,0.971299409866333,1.0,0.9124833345413208,0.562740520996158
lane_change,1.0,0,2026,deterministic_stl,12,0.9712847471237183,1.0,0.913985550403595,0.5575616790010827
lane_change,1.0,0,2026,deterministic_stl,13,0.9701182842254639,0.9804399013519287,0.7247787714004517,0.44008167299762135
lane_change,1.0,0,2026,deterministic_stl,14,0.9708329439163208,0.9804644584655762,0.8760057687759399,0.45041997200314654
lane_change,1.0,0,2026,deterministic_stl,15,0.9707679748535156,0.9804657101631165,0.9224222302436829,0.41520934800064424
lane_change,1.0,0,2026,deterministic_stl,16,0.9706053733825684,0.9804653525352478,0.9104710817337036,0.36339335500088055
lane_change,1.0,0,2026,deterministic_stl,17,0.9710767269134521,0.9804518222808838,0.9242269396781921,0.45313181699748384
lane_change,1.0,0,2026,pdstl,0,0.938725471496582,1.0,0.863082230091095,6.509247423004126
lane_change,1.0,0,2026,pdstl,1,0.9481973648071289,1.0,0.8652530908584595,6.462435330999142
lane_change,1.0,0,2026,pdstl,2,0.9511921405792236,1.0,0.8610212206840515,6.497457290999591
lane_change,1.0,0,2026,pdstl,3,0.9510848522186279,1.0,0.8606215715408325,6.083924172002298
lane_change,1.0,0,2026,pdstl,4,0.9510648250579834,1.0,0.8596204519271851,6.495672076001938
lane_change,1.0,0,2026,pdstl,5,0.9510729312896729,1.0,0.8590973019599915,5.8925800239958335
lane_change,1.0,0,2026,pdstl,6,0.9509387016296387,1.0,0.8583623170852661,6.450279787000909
lane_change,1.0,0,2026,pdstl,7,0.9509423971176147,1.0,0.8568998575210571,6.518208290995972
lane_change,1.0,0,2026,pdstl,8,0.9525793790817261,1.0,0.8558527827262878,6.461332070000935
lane_change,1.0,0,2026,pdstl,9,0.9524402618408203,1.0,0.8552032709121704,6.019134303998726
lane_change,1.0,0,2026,pdstl,10,0.9501910209655762,1.0,0.8567229509353638,5.571762842999306
lane_change,1.0,0,2026,pdstl,11,0.9507969617843628,1.0,0.8586864471435547,5.337160380993737
lane_change,1.0,0,2026,pdstl,12,0.952308177947998,1.0,0.8588683009147644,5.279518884999561
lane_change,1.0,0,2026,pdstl,13,0.86574387550354,0.870823323726654,0.8662515878677368,1.1151183159963693
lane_change,1.0,0,2026,pdstl,14,0.9579849243164062,0.9645031094551086,0.9078140258789062,1.1229904179999721
lane_change,1.0,0,2026,pdstl,15,0.9725884199142456,0.979413628578186,0.9121965169906616,1.1704269780020695
lane_change,1.0,0,2026,pdstl,16,0.9724838733673096,0.9797338843345642,0.9098674654960632,1.1148117859993363
lane_change,1.0,0,2026,pdstl,17,0.9725139141082764,0.9796676635742188,0.9065496325492859,1.115529137001431
lane_change,2.0,0,2026,deterministic_stl,0,0.6047850847244263,1.0,0.874491810798645,0.5644367360000615
lane_change,2.0,0,2026,deterministic_stl,1,0.6493129730224609,1.0,0.7081858515739441,0.5999509510002099
lane_change,2.0,0,2026,deterministic_stl,2,0.6241486072540283,1.0,0.8779953122138977,0.5943603659979999
lane_change,2.0,0,2026,deterministic_stl,3,0.6323835849761963,1.0,0.9062593579292297,0.5313955259989598
lane_change,2.0,0,2026,deterministic_stl,4,0.6324476003646851,1.0,0.8673104047775269,0.5592829400047776
lane_change,2.0,0,2026,deterministic_stl,5,0.6122475862503052,1.0,0.8295513987541199,0.5662096489977557
lane_change,2.0,0,2026,deterministic_stl,6,0.6234710216522217,1.0,0.9087141752243042,0.5613836080010515
lane_change,2.0,0,2026,deterministic_stl,7,0.6333508491516113,1.0,0.8965997695922852,0.561179495001852
lane_change,2.0,0,2026,deterministic_stl,8,0.6238104104995728,1.0,0.9041773080825806,0.559557913999015
lane_change,2.0,0,2026,deterministic_stl,9,0.6364808082580566,1.0,0.912377655506134,0.5620989130038652
lane_change,2.0,0,2026,deterministic_stl,10,0.6320319175720215,1.0,0.9031310081481934,0.5765726609970443
lane_change,2.0,0,2026,deterministic_stl,11,0.6378703117370605,1.0,0.9066667556762695,0.5740650649968302
lane_change,2.0,0,2026,deterministic_stl,12,0.6322579383850098,1.0,0.9109090566635132,0.6045746560048428
lane_change,2.0,0,2026,deterministic_stl,13,0.6315584182739258,0.7570093274116516,0.7253433465957642,0.3683518570032902
lane_change,2.0,0,2026,deterministic_stl,14,0.630367636680603,0.7570263147354126,0.8700936436653137,0.40971535599965136
lane_change,2.0,0,2026,deterministic_stl,15,0.628917932510376,0.7570276856422424,0.9229756593704224,0.4468720429940731
lane_change,2.0,0,2026,deterministic_stl,16,0.6279188394546509,0.7570255994796753,0.8977365493774414,0.44531944999471307
lane_change,2.0,0,2026,deterministic_stl,17,0.6310057640075684,0.7569255828857422,0.9190170168876648,0.4481323930012877
lane_change,2.0,0,2026,pdstl,0,0.6108675003051758,1.0,0.5007261037826538,5.815970083996945
lane_change,2.0,0,2026,pdstl,1,0.6193907260894775,1.0,0.5009444952011108,5.500464680000732
lane_change,2.0,0,2026,pdstl,2,0.6171722412109375,1.0,0.4978102743625641,6.136930164997466
lane_change,2.0,0,2026,pdstl,3,0.6195769309997559,1.0,0.4951593279838562,6.426438868002151
lane_change,2.0,0,2026,pdstl,4,0.6292846202850342,1.0,0.49160709977149963,6.454599258999224
lane_change,2.0,0,2026,pdstl,5,0.6321530342102051,1.0,0.49184074997901917,6.516237750998698
